1.73,6.21,2.00
2.10,3.72,2.00
1.85,1.98,2.00
4.20,2.16,1.00
3.51,2.26,1.00
3.36,2.13,1.00
3.48,3.53,2.00
2.70,3.59,2.00
1.06,4.77,2.00
3.74,1.98,1.00
2.93,2.23,1.00
4.08,3.10,1.00
1.82,2.13,2.00
2.10,1.03,1.00
3.00,0.58,1.00
3.11,3.13,1.00
1.56,4.12,2.00
1.77,0.88,1.00
2.33,5.48,2.00
4.51,0.10,1.00
5.28,2.53,1.00
4.68,3.21,1.00
4.55,1.15,1.00
1.03,3.98,2.00
3.32,3.33,1.00
3.84,3.16,2.00
3.30,0.84,1.00
3.89,1.53,1.00
4.43,0.94,1.00
3.37,2.73,1.00
3.62,1.78,1.00
2.10,2.04,2.00
1.39,5.08,2.00
0.39,5.88,2.00
1.88,3.57,2.00
1.90,5.32,2.00
4.33,0.74,1.00
4.80,-0.42,1.00
1.17,3.77,2.00
1.69,3.92,2.00
5.55,2.42,1.00
4.07,1.85,1.00
3.84,1.44,1.00
6.29,2.02,1.00
3.57,2.73,1.00
2.06,0.56,1.00
1.78,5.04,2.00
2.38,3.45,2.00
0.68,4.36,2.00
3.05,4.34,2.00
3.62,1.22,1.00
1.88,4.98,2.00
3.16,1.45,1.00
2.93,4.64,2.00
4.11,4.51,1.00
6.08,1.97,1.00
3.65,4.76,2.00
2.02,3.45,2.00
2.80,2.81,1.00
2.27,2.24,2.00
4.18,3.29,1.00
4.10,3.17,1.00
4.30,0.74,1.00
3.46,0.98,1.00
3.64,1.81,1.00
0.11,4.59,2.00
3.14,4.74,2.00
2.11,1.39,1.00
1.90,4.04,2.00
4.70,2.50,1.00
2.54,1.97,1.00
1.92,4.96,2.00
2.29,5.19,2.00
3.18,-0.08,1.00
1.78,2.85,2.00
4.99,1.93,1.00
0.71,3.78,2.00
4.69,2.17,1.00
2.01,4.27,2.00
1.83,4.73,2.00
2.47,4.04,2.00
3.47,4.94,2.00
0.47,3.65,2.00
0.71,3.69,2.00
3.70,2.80,1.00
5.20,1.40,1.00
5.07,1.99,1.00
2.84,4.28,2.00
2.13,4.17,2.00
3.45,4.42,2.00
1.83,3.60,2.00
1.34,3.47,2.00
1.60,4.70,2.00
2.86,0.40,1.00
5.27,0.02,1.00
1.19,3.55,2.00
1.87,2.60,2.00
2.33,2.24,1.00
3.11,2.46,1.00
4.26,1.21,1.00
6.79,2.87,1.00
4.19,2.36,1.00
3.43,2.84,1.00
3.86,1.54,1.00
3.72,2.60,1.00
5.52,2.11,1.00
2.33,2.53,2.00
2.30,3.13,2.00
3.33,2.33,1.00
2.43,4.55,2.00
4.87,1.83,1.00
4.59,1.80,1.00
3.43,4.62,2.00
2.22,5.81,2.00
0.27,4.70,2.00
5.90,3.94,1.00
3.60,1.63,1.00
3.61,3.88,2.00
2.17,4.07,2.00
-0.35,2.41,2.00
2.43,3.89,2.00
1.22,3.90,2.00
3.96,1.43,1.00
0.96,4.00,2.00
